100	0.126
99.8459	0.1681
99.3844	0.2937
98.6185	0.5003
97.5528	0.7839
96.194	1.1391
94.5503	1.5594
92.632	2.037
90.4508	2.5633
88.0203	3.1292
85.3553	3.7251
82.4724	4.3409
79.3893	4.9666
76.1249	5.5923
72.6995	6.2082
69.1342	6.8045
65.4508	7.372
61.6723	7.9018
57.8217	8.3854
53.923	8.8149
50	9.1829
46.077	9.483
42.1783	9.7095
38.3277	9.8539
34.5492	9.8832
30.8658	9.7914
27.3005	9.5816
23.8751	9.2592
20.6107	8.8316
17.5276	8.3084
14.6447	7.7011
11.9797	7.0225
9.5492	6.2868
7.368	5.5084
5.4497	4.7023
3.806	3.883
2.4472	3.0638
1.3815	2.2569
0.6156	1.4725
0.1541	0.7184
0	0
0.1541	-0.6569
0.6156	-1.2282
1.3815	-1.7139
2.4472	-2.1149
3.806	-2.433
5.4497	-2.671
7.368	-2.8327
9.5492	-2.923
11.9797	-2.9482
14.6447	-2.9156
17.5276	-2.8334
20.6107	-2.7113
23.8751	-2.5592
27.3005	-2.388
30.8658	-2.2086
34.5492	-2.0318
38.3277	-1.8679
42.1783	-1.7201
46.077	-1.5651
50	-1.4051
53.923	-1.2456
57.8217	-1.0912
61.6723	-0.9456
65.4508	-0.8115
69.1342	-0.6907
72.6995	-0.5843
76.1249	-0.4924
79.3893	-0.4144
82.4724	-0.3495
85.3553	-0.2964
88.0203	-0.2536
90.4508	-0.2195
92.632	-0.1928
94.5503	-0.1722
96.194	-0.1564
97.5528	-0.1446
98.6185	-0.1361
99.3844	-0.1304
99.8459	-0.1271
100	-0.126
